Data,CUB_SC,INCC,IGPM,IPCA,INPC,SELIC,USD
2006-04-01,-0.39,0.36,-0.42,0.21,0.12,1.08,-1.0548327137546387
2006-05-01,0.26,1.32,0.38,0.1,0.13,1.28,2.291832996759502
2006-06-01,2.91,0.9,0.75,-0.21,-0.07,1.18,3.222992516413381
2006-07-01,0.7,0.47,0.18,0.19,0.11,1.17,-2.624204954854792
2006-08-01,0.0,0.24,0.37,0.05,-0.02,1.26,-1.5256017905266428
2006-09-01,0.23,0.11,0.29,0.21,0.16,1.06,0.5937195602764511
2006-10-01,-0.12,0.21,0.47,0.33,0.43,1.09,-0.9406556923502563
2006-11-01,-0.04,0.23,0.75,0.31,0.42,1.02,0.446864962993998
2006-12-01,-0.87,0.36,0.32,0.48,0.62,0.99,-0.370730803095598
2007-01-01,0.2,0.45,0.5,0.44,0.49,1.08,-0.5302572212661061
2007-02-01,0.0,0.21,0.27,0.44,0.42,0.87,-1.973345803133053
2007-03-01,0.17,0.27,0.34,0.37,0.44,1.05,-0.3625435290750434
2007-04-01,0.56,0.46,0.04,0.25,0.26,0.94,-2.7146071719251097
2007-05-01,3.17,1.15,0.04,0.28,0.26,1.03,-2.4803149606299257
2007-06-01,0.16,0.92,0.26,0.28,0.31,0.91,-2.5080742834073466
2007-07-01,0.75,0.31,0.28,0.24,0.32,0.97,-2.541539417154093
2007-08-01,-0.02,0.26,0.98,0.47,0.59,0.99,4.418950499256424
2007-09-01,0.26,0.51,1.29,0.18,0.25,0.8,-3.3774160732451652
2007-10-01,0.72,0.51,1.05,0.3,0.3,0.93,-5.190566435038956
2007-11-01,0.31,0.36,0.69,0.38,0.43,0.84,-1.7268184342032145
2007-12-01,0.55,0.59,1.76,0.74,0.97,0.84,0.9096559127634407
2008-01-01,0.16,0.38,1.09,0.54,0.69,0.93,-0.6550951847704378
2008-02-01,0.48,0.4,0.53,0.49,0.48,0.8,-2.6263878712731725
2008-03-01,0.37,0.66,0.74,0.48,0.51,0.84,-1.163396422990104
2008-04-01,0.32,0.87,0.69,0.55,0.64,0.9,-1.095104239868816
2008-05-01,5.55,2.02,1.61,0.79,0.96,0.88,-1.6815678844218085
2008-06-01,-0.04,1.92,1.98,0.74,0.91,0.96,-2.5052694971394174
2008-07-01,2.78,1.46,1.76,0.53,0.58,1.07,-1.6986842918030765
2008-08-01,1.03,1.18,-0.32,0.28,0.21,1.02,1.313309036068877
2008-09-01,0.44,0.95,0.11,0.26,0.15,1.1,11.61694473733177
2008-10-01,0.36,0.77,0.98,0.45,0.5,1.18,20.743498555234474
2008-11-01,0.09,0.5,0.38,0.36,0.38,1.02,4.298403055824029
2008-12-01,0.28,0.17,-0.13,0.28,0.29,1.12,5.65238494462339
2009-01-01,-0.08,0.33,-0.44,0.48,0.64,1.05,-3.6334781156030838
2009-02-01,0.58,0.27,0.26,0.55,0.31,0.86,0.22969576146312232
2009-03-01,0.28,-0.25,-0.74,0.2,0.2,0.97,0.047563453971544156
2009-04-01,-0.21,-0.04,-0.15,0.48,0.55,0.84,-4.663324401417579
